loan_id,application_date,applicant_age,employment_status,annual_income,loan_amount,loan_tenure,credit_score,existing_emi,loan_purpose,branch,loan_status,default_flag
LN00001,16-10-2025,59,Self-Employed,526575,340817,24,814,0,Vehicle,Pune,Approved,0
LN00002,24-04-2024,49,Salaried,389133,170353,36,799,2,Medical,Mumbai,Closed,0
LN00003,26-01-2024,35,Salaried,227525,232316,60,637,1,Medical,Chennai,Closed,0
LN00004,29-01-2026,63,Retired,592908,203828,24,809,2,Vehicle,Kolkata,Closed,0
LN00005,08-10-2024,28,Salaried,435075,416562,36,580,0,Vehicle,Ahmedabad,Approved,0
LN00006,07-09-2024,41,Self-Employed,549656,690733,24,825,0,Business,Pune,Approved,0
LN00007,16-08-2024,59,Self-Employed,864881,1106974,36,570,0,Medical,Chennai,Approved,0
LN00008,22-05-2024,39,Salaried,383802,304716,24,571,0,Education,Delhi,Approved,0
LN00009,24-01-2026,43,Salaried,503889,405748,24,641,2,Home Renovation,Kolkata,Defaulted,1
LN00010,14-04-2024,31,Salaried,280434,107873,24,686,0,Home Renovation,Bangalore,Defaulted,1
LN00011,23-11-2025,31,Retired,645319,669738,24,527,0,Business,Pune,Rejected,0
LN00012,28-01-2026,44,Salaried,825792,993746,60,564,0,Business,Chennai,Defaulted,1
LN00013,12-07-2025,56,Salaried,504133,286912,24,764,2,Medical,Kolkata,Closed,0
LN00014,30-03-2024,60,Salaried,256773,196028,24,803,3,Education,Hyderabad,Approved,0
LN00015,27-08-2025,44,Self-Employed,518288,633722,36,626,0,Education,Delhi,Defaulted,1
LN00016,08-03-2025,23,Salaried,1019460,1289446,24,546,2,Vehicle,Pune,Approved,0
LN00017,02-02-2024,42,Salaried,361759,205297,48,712,1,Business,Pune,Closed,0
LN00018,31-01-2024,22,Self-Employed,767866,695400,60,581,0,Home Renovation,Bangalore,Approved,0
LN00019,05-04-2024,44,Unemployed,171159,87589,36,461,2,Home Renovation,Kolkata,Rejected,0
LN00020,11-08-2024,64,Salaried,603903,248848,60,801,0,Medical,Hyderabad,Closed,0
LN00021,26-08-2024,50,Salaried,244994,319039,36,640,2,Home Renovation,Kolkata,Closed,0
LN00022,01-06-2025,58,Salaried,687319,826541,24,799,0,Education,Hyderabad,Approved,0
LN00023,08-09-2025,22,Self-Employed,924360,1050108,36,558,4,Education,Bangalore,Approved,0
LN00024,28-01-2024,41,Salaried,309431,109428,36,796,0,Business,Delhi,Approved,0
LN00025,28-07-2025,53,Self-Employed,577091,708726,36,613,1,Medical,Pune,Defaulted,1
LN00026,22-07-2024,32,Self-Employed,645887,504985,60,634,3,Home Renovation,Hyderabad,Rejected,0
LN00027,03-01-2026,42,Self-Employed,612942,414737,36,695,0,Business,Mumbai,Approved,0
LN00028,27-10-2025,64,Salaried,568204,512022,60,640,1,Vehicle,Bangalore,Approved,0
LN00029,19-12-2025,45,Retired,395406,158355,48,532,1,Vehicle,Bangalore,Rejected,0
LN00030,12-07-2025,47,Self-Employed,1450257,1642142,36,682,1,Home Renovation,Chennai,Approved,0
LN00031,05-03-2025,62,Self-Employed,579586,545204,36,794,0,Home Renovation,Delhi,Approved,0
LN00032,13-08-2024,48,Salaried,385534,194790,24,695,0,Home Renovation,Mumbai,Approved,0
LN00033,04-04-2025,36,Unemployed,334309,169513,60,613,2,Education,Mumbai,Defaulted,1
LN00034,26-08-2025,35,Salaried,891540,448153,36,843,1,Home Renovation,Chennai,Approved,0
LN00035,11-10-2024,67,Salaried,649129,235440,12,692,2,Vehicle,Hyderabad,Approved,0
LN00036,08-04-2026,64,Salaried,791856,749553,24,794,0,Home Renovation,Hyderabad,Approved,0
LN00037,07-01-2024,23,Self-Employed,2004744,2454574,36,583,0,Medical,Ahmedabad,Approved,0
LN00038,16-02-2026,57,Salaried,755429,241169,12,620,1,Vehicle,Ahmedabad,Closed,0
LN00039,05-04-2026,27,Salaried,567364,200793,12,841,1,Medical,Mumbai,Approved,0
LN00040,12-06-2024,41,Salaried,1019962,948612,36,585,1,Vehicle,Delhi,Closed,0
LN00041,15-12-2025,29,Salaried,1076955,1293902,24,564,0,Business,Hyderabad,Approved,0
LN00042,08-03-2025,59,Self-Employed,1745976,1151318,36,606,0,Vehicle,Bangalore,Approved,0
LN00043,14-12-2024,38,Self-Employed,503490,344677,24,586,0,Vehicle,Kolkata,Rejected,0
LN00044,11-10-2024,24,Salaried,265851,254148,24,778,0,Medical,Chennai,Closed,0
LN00045,08-06-2024,45,Self-Employed,486866,292915,36,724,0,Medical,Delhi,Approved,0
LN00046,08-08-2024,34,Self-Employed,971894,320014,36,697,2,Vehicle,Hyderabad,Approved,0
LN00047,20-02-2026,29,Salaried,525245,582366,24,799,1,Vehicle,Kolkata,Approved,0
LN00048,10-12-2024,46,Salaried,445558,440307,24,536,1,Education,Mumbai,Closed,0
LN00049,14-04-2024,22,Unemployed,212564,199561,36,439,0,Business,Chennai,Rejected,0
LN00050,04-04-2024,40,Self-Employed,898304,1002374,12,721,0,Business,Hyderabad,Approved,0
LN00051,24-01-2025,48,Salaried,388254,404853,24,691,1,Home Renovation,Mumbai,Closed,0
LN00052,09-04-2024,67,Self-Employed,2237814,1178142,12,781,3,Vehicle,Hyderabad,Closed,0
LN00053,02-01-2025,27,Salaried,426997,293658,48,713,2,Vehicle,Chennai,Rejected,0
LN00054,17-05-2026,64,Self-Employed,131804,57825,48,668,2,Vehicle,Bangalore,Approved,0
LN00055,18-12-2024,28,Salaried,463039,205053,48,554,3,Vehicle,Pune,Approved,0
LN00056,10-09-2025,67,Salaried,811047,846583,48,548,1,Business,Bangalore,Approved,0
LN00057,27-09-2024,55,Salaried,490376,610253,36,782,0,Medical,Pune,Closed,0
LN00058,06-04-2026,34,Unemployed,274607,373192,36,620,2,Education,Kolkata,Rejected,0
LN00059,14-02-2024,37,Self-Employed,978181,969555,36,572,0,Medical,Mumbai,Closed,0
LN00060,17-01-2026,56,Salaried,1178049,591983,12,798,1,Medical,Pune,Approved,0
LN00061,15-04-2025,60,Salaried,389420,162082,36,595,2,Business,Bangalore,Approved,0
LN00062,03-07-2025,24,Self-Employed,368649,440217,48,695,2,Education,Chennai,Approved,0
LN00063,07-05-2024,22,Salaried,952407,892054,36,529,0,Vehicle,Mumbai,Rejected,0
LN00064,22-01-2025,26,Salaried,1182527,1159010,24,636,1,Business,Hyderabad,Approved,0
