loan_id,applicant_age,employment_status,annual_income,loan_amount,loan_tenure_months,credit_score,existing_emis,loan_purpose,branch,default_flag
LN00001,28,Retired,629789,324921,12,685,4,Home,Mumbai,0
LN00002,49,Self-Employed,561938,305140,36,565,3,Medical,Chennai,1
LN00003,57,Salaried,440076,376198,12,631,3,Business,Kolkata,0
LN00004,40,Salaried,548001,280797,24,645,2,Education,Hyderabad,0
LN00005,29,Retired,810451,361394,24,764,0,Business,Kolkata,0
LN00006,44,Salaried,597860,439160,48,771,3,Business,Chennai,0
LN00007,28,Unemployed,567558,708131,24,782,1,Medical,Hyderabad,0
LN00008,49,Salaried,707553,324549,36,691,2,Home,Delhi,0
LN00009,49,Salaried,483582,537481,60,702,5,Home,Delhi,1
LN00010,52,Self-Employed,880968,162734,60,468,3,Medical,Delhi,0
LN00011,29,Self-Employed,548154,754514,24,504,3,Vehicle,Kolkata,1
LN00012,28,Retired,602768,439272,48,556,3,Home,Chennai,0
LN00013,62,Salaried,818955,202253,48,676,2,Vehicle,Chennai,0
LN00014,42,Retired,579137,590137,60,671,3,Education,Chennai,0
LN00015,37,Retired,684828,895392,48,773,4,Medical,Delhi,1
LN00016,61,Unemployed,407732,428857,24,621,2,Business,Delhi,1
LN00017,62,Salaried,500625,514277,24,663,2,Vehicle,Mumbai,0
LN00018,58,Salaried,371321,885540,36,588,4,Medical,Mumbai,1
LN00019,28,Salaried,359446,513902,48,577,4,Vehicle,Chennai,0
LN00020,42,Self-Employed,843496,414266,36,618,4,Medical,Pune,0
LN00021,57,Salaried,512686,180701,48,748,0,Vehicle,Delhi,0
LN00022,31,Self-Employed,730042,325013,24,694,3,Vehicle,Mumbai,0
LN00023,35,Self-Employed,333700,496819,48,696,1,Education,Delhi,0
LN00024,61,Self-Employed,592558,100000,60,689,2,Medical,Bangalore,0
LN00025,48,Salaried,555111,423299,24,797,4,Medical,Delhi,0
LN00026,30,Self-Employed,284021,417419,60,558,4,Home,Pune,1
LN00027,63,Salaried,602109,321260,48,728,3,Home,Chennai,0
LN00028,38,Salaried,372917,570581,48,781,0,Business,Chennai,0
LN00029,57,Salaried,636312,282702,24,568,2,Medical,Kolkata,0
LN00030,56,Salaried,790603,304478,60,553,5,Vehicle,Mumbai,1
LN00031,37,Salaried,331347,349351,48,818,3,Education,Kolkata,0
