person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,cb_person_default_on_file,person_home_ownership,loan_intent,loan_grade,default_probability,default_flag,loan_id,risk_tier
22,57000,6.0,7200,10.99,0.13,2,0,0,5,1,0.01987078835078264,0,LN08283,Low
23,52800,6.0,3000,10.99,0.06,4,0,3,3,1,0.084916619859611,0,LN02804,Low
21,21000,2.0,4000,11.86,0.19,2,0,3,0,1,0.06311569675488958,0,LN03720,Low
25,13000,2.0,4000,15.65,0.31,3,1,3,4,3,0.9393216439188722,1,LN03671,High
26,48000,1.0,4200,10.62,0.09,2,0,0,5,1,0.019011906035597742,0,LN06181,Low
51,60000,6.0,8500,5.79,0.14,18,0,3,0,0,0.022893067079692356,0,LN32388,Low
24,190000,4.0,24000,15.62,0.13,3,1,2,4,2,0.08675982631340196,0,LN15834,Low
28,95000,0.0,5000,7.51,0.05,5,0,0,2,0,0.04017094909885159,0,LN26044,Low
23,36000,1.0,7000,7.9,0.19,4,0,3,1,0,0.03309519181592507,0,LN16112,Low
24,75000,7.0,15000,11.58,0.2,3,0,0,4,1,0.054781575761238384,0,LN11722,Low
48,83500,7.0,10200,5.79,0.12,14,0,3,1,0,0.020448835681614267,0,LN31124,Low
31,45000,5.0,14000,7.91,0.31,8,0,3,4,0,0.8987354072554824,1,LN28641,High
27,68700,0.0,10000,6.92,0.15,6,0,2,4,0,0.024739386537868318,0,LN24001,Low
36,140000,21.0,8000,6.99,0.06,11,0,0,4,0,0.042132868499782934,0,LN31764,Low
28,42000,5.0,5375,10.65,0.13,7,0,0,2,1,0.04412113785825528,0,LN20595,Low
37,80000,0.0,3000,13.48,0.04,15,1,0,2,2,0.03419657292970238,0,LN31193,Low
30,135000,4.0,25000,15.21,0.19,9,0,3,5,3,0.19487311426915932,0,LN28735,Low
36,55000,6.0,10900,12.42,0.2,13,0,3,2,1,0.09067625190825206,0,LN29736,Low
26,55000,2.0,14000,9.99,0.25,4,0,3,1,1,0.022416334212388835,0,LN13921,Low
22,96000,6.0,9000,7.49,0.09,4,0,0,1,0,0.01926989704162377,0,LN13781,Low
35,38400,0.0,5000,7.49,0.13,9,0,0,1,0,0.032046140425465185,0,LN20135,Low
25,85000,9.0,1000,9.32,0.01,2,0,0,4,0,0.036464819857336926,0,LN12901,Low
28,39000,2.0,10400,10.37,0.27,10,0,3,1,1,0.04038528694012299,0,LN19975,Low
28,225000,12.0,6000,11.12,0.03,7,0,0,0,1,0.03230894311818346,0,LN27804,Low
36,48000,8.0,12150,5.79,0.25,14,0,3,4,0,0.02217150952693431,0,LN31359,Low
22,31200,4.0,2000,7.29,0.06,3,0,0,3,0,0.12009433064934516,0,LN02288,Low
