loan_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_flag
LN00001,22,59000,RENT,60.0,PERSONAL,D,35000,16.02,1,0.59,1,3,1
LN00002,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,0,2,0
LN00003,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,0,3,1
LN00004,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,0,2,1
LN00005,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,1,4,1
LN00006,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,0,2,1
LN00007,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,0,3,1
LN00008,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,0,4,1
LN00009,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,0,2,1
LN00010,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,0,3,1
LN00011,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,0,4,1
LN00012,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,0,2,1
LN00013,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,0,2,1
LN00014,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,0,4,1
LN00015,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,0,4,0
LN00016,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,0,3,0
LN00017,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,0,4,0
LN00018,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,0,4,1
LN00019,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,0,4,1
LN00020,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,0,2,1
LN00021,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,0,4,0
LN00022,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,1,2,0
LN00023,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,0,4,1
LN00024,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,0,3,0
LN00025,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,1,4,1
LN00026,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,0,3,1
LN00027,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,1,3,1
LN00028,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,0,3,0
LN00029,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,0,3,1
LN00030,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,1,2,1
LN00031,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,0,3,1
LN00032,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,0,2,0
LN00033,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,1,3,1
LN00034,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,0,3,0
LN00035,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,0,4,0
LN00036,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,0,4,1
LN00037,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,0,2,1
LN00038,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,1,3,1
LN00039,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,1,4,1
LN00040,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,0,4,1
LN00041,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,0,2,1
LN00042,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,0,3,1
LN00043,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,0,4,0
LN00044,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,1,2,0
LN00045,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,0,4,0
LN00046,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,0,3,0
LN00047,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,0,3,0
LN00048,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,0,3,1
LN00049,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,0,3,1
LN00050,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,0,3,1
LN00051,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,1,4,1
LN00052,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,1,3,1
LN00053,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,1,3,1
LN00054,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,0,2,1
LN00055,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,0,4,0
LN00056,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,1,3,0
LN00057,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,0,3,0
LN00058,23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,0,4,0
LN00059,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,0,4,0
LN00060,24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,1,3,0
LN00061,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,0,4,0
LN00062,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,0,2,0
LN00063,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,0,4,1
LN00064,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,0,2,1
LN00065,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,0,3,1
LN00066,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,1,3,0
LN00067,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,0,3,0
LN00068,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,1,2,0
LN00069,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,0,2,0
LN00070,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,0,4,0
LN00071,25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,0,3,1
LN00072,22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,0,2,1
LN00073,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,1,3,1
LN00074,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,0,2,1
LN00075,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,0,3,1
LN00076,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,0,3,1
LN00077,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,0,3,1
LN00078,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,1,4,1
LN00079,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,0,2,1
LN00080,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,1,4,1
LN00081,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,1,3,0
LN00083,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,0,3,0
LN00084,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,0,2,0
LN00085,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,0,4,1
LN00086,22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,0,4,1
LN00087,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,0,2,0
LN00088,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,0,2,1
LN00089,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,1,3,1
LN00090,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,1,3,1
LN00091,22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,0,2,0
LN00092,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,1,2,1
LN00093,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,1,2,1
LN00094,24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,0,3,1
LN00095,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,0,2,1
LN00096,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,0,3,0
LN00097,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,0,3,0
LN00098,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,0,3,1
LN00099,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,1,4,0
LN00100,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,0,4,0
LN00101,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,0,3,0
LN00102,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,1,3,1
LN00103,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,1,2,0
LN00104,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,0,4,0
LN00105,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,0,3,1
LN00106,22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,0,4,1
LN00107,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,0,3,0
LN00108,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,1,3,1
LN00109,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,0,3,1
LN00110,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,1,4,1
LN00111,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,0,3,1
LN00112,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,0,4,0
LN00113,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,1,2,0
LN00114,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,0,2,1
LN00115,24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,0,4,0
